NAME,GEO_ID,households,CountyFIPS,Annual Median Household Income,Annual Transportation Cost,Annual Housing Cost,Annual Housing and Transportation Cost,Transportation Cost as % of Annual Median Household Income,Housing Cost as % of Annual Median Household Income,Housing and Transportation Cost as % of Annual Median Household Income,'Discretionary Spending': Median Annual Household Income Minus Housing and Transportation Costs,Year
Block Group 2; Census Tract 418; Rutherford County; Tennessee,471490418002,265.0,149.0,-666666666.0,10929.0,8724.0,19653.0,-0.00163935000163935,-0.0013086000013086,-0.00294795000294795,-666686319.0,2020
Block Group 3; Census Tract 423.01; Rutherford County; Tennessee,471490423013,588.0,149.0,69755.0,15731.0,14820.0,30551.0,22.55178840226507,21.245788832341766,43.79757723460684,39204.0,2020
Block Group 1; Census Tract 403.05; Rutherford County; Tennessee,471490403051,994.0,149.0,38598.0,13004.0,8544.0,21548.0,33.690864811648275,22.135861961759677,55.826726773407955,17050.0,2020
Block Group 2; Census Tract 408.07; Rutherford County; Tennessee,471490408072,645.0,149.0,98855.0,17444.0,21108.0,38552.0,17.646047240908402,21.352485964291134,38.998533205199536,60303.0,2020
Block Group 1; Census Tract 409.10; Rutherford County; Tennessee,471490409101,500.0,149.0,57778.0,16720.0,18336.0,35056.0,28.938350237114474,31.735262556682475,60.67361279379695,22722.0,2020
Block Group 1; Census Tract 408.06; Rutherford County; Tennessee,471490408061,627.0,149.0,130391.0,17058.0,17868.0,34926.0,13.08219125553144,13.703399774524316,26.785591030055755,95465.0,2020
Block Group 2; Census Tract 407.03; Rutherford County; Tennessee,471490407032,763.0,149.0,128801.0,16670.0,15840.0,32510.0,12.942446099020971,12.298041164276675,25.240487263297645,96291.0,2020
Block Group 1; Census Tract 405.01; Rutherford County; Tennessee,471490405011,396.0,149.0,73913.0,16951.0,17292.0,34243.0,22.9337193727761,23.395072585336816,46.328791958112916,39670.0,2020
Block Group 1; Census Tract 412.02; Rutherford County; Tennessee,471490412021,558.0,149.0,89375.0,16022.0,14676.0,30698.0,17.926713286713287,16.4206993006993,34.34741258741259,58677.0,2020
Block Group 3; Census Tract 405.01; Rutherford County; Tennessee,471490405013,978.0,149.0,102614.0,17402.0,17568.0,34970.0,16.958699592648177,17.12047089091157,34.07917048355975,67644.0,2020
Block Group 3; Census Tract 405.02; Rutherford County; Tennessee,471490405023,284.0,149.0,-666666666.0,15237.0,12324.0,27561.0,-0.0022855500022855497,-0.0018486000018486002,-0.00413415000413415,-666694227.0,2020
Block Group 1; Census Tract 408.11; Rutherford County; Tennessee,471490408111,1074.0,149.0,151389.0,16923.0,20832.0,37755.0,11.178487208449756,13.760577056457207,24.939064264906964,113634.0,2020
Block Group 4; Census Tract 408.06; Rutherford County; Tennessee,471490408064,543.0,149.0,102083.0,16156.0,15432.0,31588.0,15.826337392122097,15.117110586483548,30.943447978605644,70495.0,2020
Block Group 1; Census Tract 417; Rutherford County; Tennessee,471490417001,587.0,149.0,62068.0,12895.0,8436.0,21331.0,20.775600953792615,13.591544757362891,34.36714571115551,40737.0,2020
Block Group 3; Census Tract 413.01; Rutherford County; Tennessee,471490413013,1149.0,149.0,98556.0,14775.0,19380.0,34155.0,14.99147692682333,19.663947400462682,34.65542432728601,64401.0,2020
Block Group 1; Census Tract 411.04; Rutherford County; Tennessee,471490411041,830.0,149.0,89223.0,15220.0,21768.0,36988.0,17.058381807381505,24.39729666117481,41.455678468556314,52235.0,2020
Block Group 1; Census Tract 403.09; Rutherford County; Tennessee,471490403091,248.0,149.0,123750.0,18166.0,26004.0,44170.0,14.679595959595959,21.013333333333335,35.69292929292929,79580.0,2020
Block Group 1; Census Tract 408.12; Rutherford County; Tennessee,471490408121,603.0,149.0,69750.0,15992.0,16560.0,32552.0,22.927598566308244,23.741935483870968,46.66953405017921,37198.0,2020
Block Group 2; Census Tract 404.05; Rutherford County; Tennessee,471490404052,599.0,149.0,63804.0,14269.0,13368.0,27637.0,22.363801642530248,20.95166447244687,43.31546611497712,36167.0,2020
Block Group 2; Census Tract 409.06; Rutherford County; Tennessee,471490409062,1422.0,149.0,89012.0,13260.0,16992.0,30252.0,14.896867838044308,19.08956095807307,33.98642879611738,58760.0,2020
Block Group 2; Census Tract 414.04; Rutherford County; Tennessee,471490414042,731.0,149.0,31068.0,10956.0,11472.0,22428.0,35.264580919273854,36.9254538431827,72.19003476245655,8640.0,2020
Block Group 1; Census Tract 421.01; Rutherford County; Tennessee,471490421011,629.0,149.0,40322.0,11024.0,10392.0,21416.0,27.339913694757207,25.772531124448193,53.11244481920539,18906.0,2020
Block Group 4; Census Tract 421.01; Rutherford County; Tennessee,471490421014,531.0,149.0,45675.0,11412.0,10800.0,22212.0,24.985221674876847,23.645320197044335,48.63054187192118,23463.0,2020
Block Group 2; Census Tract 408.12; Rutherford County; Tennessee,471490408122,461.0,149.0,98438.0,15381.0,14280.0,29661.0,15.625063491740995,14.506592982384852,30.131656474125844,68777.0,2020
Block Group 1; Census Tract 414.05; Rutherford County; Tennessee,471490414051,768.0,149.0,42818.0,10925.0,12816.0,23741.0,25.514970339576813,29.931337288056426,55.44630762763324,19077.0,2020
Block Group 1; Census Tract 421.02; Rutherford County; Tennessee,471490421021,709.0,149.0,40920.0,11265.0,12336.0,23601.0,27.52932551319648,30.146627565982403,57.67595307917889,17319.0,2020
